shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
32b86f75-c034-4405-a0b1-c2cb7fc0cf08-PATH,42.3651136909768,-83.0718217710425,0
32b86f75-c034-4405-a0b1-c2cb7fc0cf08-PATH,42.3517621527054,-83.0642346623308,1
32b86f75-c034-4405-a0b1-c2cb7fc0cf08-PATH,42.3510779719173,-83.0664676721826,2
32b86f75-c034-4405-a0b1-c2cb7fc0cf08-PATH,42.3540957432232,-83.0682149684691,3
32b86f75-c034-4405-a0b1-c2cb7fc0cf08-PATH,42.3534017748337,-83.0704180623866,4
32b86f75-c034-4405-a0b1-c2cb7fc0cf08-PATH,42.3585542025819,-83.0733557202234,5
32b86f75-c034-4405-a0b1-c2cb7fc0cf08-PATH,42.3588309888654,-83.0734881663925,6
32b86f75-c034-4405-a0b1-c2cb7fc0cf08-PATH,42.3595199617351,-83.0734021926101,7
32b86f75-c034-4405-a0b1-c2cb7fc0cf08-PATH,42.3603938001945,-83.0724206711132,8
32b86f75-c034-4405-a0b1-c2cb7fc0cf08-PATH,42.3607059805556,-83.0722584591838,9
32b86f75-c034-4405-a0b1-c2cb7fc0cf08-PATH,42.3611247323719,-83.0722380809722,10
32b86f75-c034-4405-a0b1-c2cb7fc0cf08-PATH,42.3653338181987,-83.0746410718747,11
32b86f75-c034-4405-a0b1-c2cb7fc0cf08-PATH,42.3646618204134,-83.0768149795899,12
32b86f75-c034-4405-a0b1-c2cb7fc0cf08-PATH,42.3637858623754,-83.0765551782038,13
32b86f75-c034-4405-a0b1-c2cb7fc0cf08-PATH,42.3645360957285,-83.0741776041569,14
32b86f75-c034-4405-a0b1-c2cb7fc0cf08-PATH,42.364440740013,-83.0740754981001,15
32b86f75-c034-4405-a0b1-c2cb7fc0cf08-PATH,42.3651090910898,-83.0718965661701,16
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3550567626953,-83.0557327270508,0
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3550186157227,-83.0556945800781,1
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3551483154297,-83.0554122924805,2
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3553085327148,-83.0550003051758,3
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3554267883301,-83.0546951293945,4
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3554725646973,-83.0545425415039,5
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3554878234863,-83.0544281005859,6
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3552436828613,-83.0541915893555,7
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3547897338867,-83.0538940429688,8
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3543167114258,-83.0535888671875,9
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3538398742676,-83.0532836914063,10
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.353343963623,-83.053092956543,11
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.352783203125,-83.0532073974609,12
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3522834777832,-83.0535430908203,13
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3516311645508,-83.0537338256836,14
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3511085510254,-83.0535583496094,15
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3506164550781,-83.0532302856445,16
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.350154876709,-83.0529479980469,17
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3499374389648,-83.0528182983398,18
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3499221801758,-83.0528030395508,19
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3499221801758,-83.0527954101563,20
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3499183654785,-83.0527954101563,21
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3499183654785,-83.0527877807617,22
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3499183654785,-83.0527801513672,23
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3498725891113,-83.0527496337891,24
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3497467041016,-83.0526733398438,25
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3496322631836,-83.0527038574219,26
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3495445251465,-83.0531005859375,27
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3493576049805,-83.0536804199219,28
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3491287231445,-83.0542221069336,29
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3489837646484,-83.0546112060547,30
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3491706848145,-83.0548324584961,31
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3494300842285,-83.055061340332,32
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3494911193848,-83.0551605224609,33
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3493843078613,-83.0553665161133,34
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3493232727051,-83.0556030273438,35
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3493232727051,-83.0556335449219,36
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3493270874023,-83.0556411743164,37
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3493347167969,-83.0556564331055,38
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3493385314941,-83.0556640625,39
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3493499755859,-83.0556869506836,40
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3493194580078,-83.0558166503906,41
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3491554260254,-83.0560989379883,42
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3491363525391,-83.0563354492188,43
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3492584228516,-83.056526184082,44
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3495674133301,-83.0567779541016,45
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.350040435791,-83.0570831298828,46
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3505363464355,-83.0574111938477,47
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3510131835938,-83.057731628418,48
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3513717651367,-83.0579605102539,49
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3514595031738,-83.0581741333008,50
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3512916564941,-83.0585174560547,51
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.35107421875,-83.0590515136719,52
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3508453369141,-83.0595474243164,53
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3507118225098,-83.0598373413086,54
